aqm,qmult,min_delay,bandwidth,protocol,run,delay_mean,efficiency_mean,efficiency_std,fairness_mean,fairness_std,retr_mean,retr_std,efficiency1_mean,efficiency1_std,efficiency2_mean,efficiency2_std,util_mean,util_std
fifo,0.2,100,100,cubic,3,212.9459875996863,37.26958639142601,23.0540920005042,1.0,0.0,0.10436328489388992,1.2231372114983365,0.4751917495991173,0.27680981457117704,0.4722825221778639,0.27443859504577633,91.28635258838385,16.19550814183899
fifo,0.2,100,100,cubic,4,215.3677173477888,36.726463937892284,24.257187057120298,1.0,0.0,0.07643628476270989,1.040339963193848,0.4485875695429046,0.2738522294599519,0.44705960851840515,0.272580090482868,91.41083096590911,16.267145585716552
fifo,0.2,100,100,cubic,5,211.75993713374643,38.39944588998808,24.323371494668176,1.0,0.0,0.12207002782109957,1.263226778652219,0.45421198184674927,0.279738116194214,0.4514216931795737,0.27743165797731933,91.10430950126263,16.180476326756967
fifo,0.2,100,100,bbr,1,225.98218119097086,37.71866564185079,23.829165390858122,1.0,0.0,0.43724857159514924,1.8530338578199472,0.41253174216115873,0.21799188268917463,0.4056641147190546,0.21088079861715875,90.35416272095961,16.55338453713823
fifo,0.2,100,100,bbr,2,225.45688611160236,38.01190948507285,25.2755030409868,1.0,0.0,0.438250071966826,1.8601986182322037,0.5610989146019059,0.18938605003901324,0.5508955118417042,0.18369289374112371,90.58327651515154,16.711105139776905
fifo,0.2,100,100,bbr,3,223.944203289442,37.61198024292288,24.907998677623628,1.0,0.0,0.4839256628235774,1.8925477809867148,0.44120536849373776,0.2501786191664072,0.43314394488561525,0.2456869405767776,90.47710227272728,16.605136559960766
fifo,0.2,100,100,bbr,4,224.07522782492967,38.09312117483543,23.107058091542008,1.0,0.0,0.45932940582730875,1.8109924874979528,0.38548978113265964,0.23951946917650968,0.3788830808369198,0.23359257795152505,90.4808648989899,16.631733568844645
fifo,0.2,100,100,bbr,5,220.8733134220753,38.29020461724357,25.88331382665718,1.0,0.0,0.3977248917764692,1.8726172411050952,0.4563335067764011,0.2837218694579399,0.44917700880532696,0.27796385744427426,89.95635969065657,16.73337951161505
fifo,0.2,100,100,bbr1,1,231.6161097020518,38.009635257855436,22.745077370800658,1.0,0.0,3.203669021378702,4.173390273800992,0.3833864940694819,0.23335702782499637,0.3537421371928205,0.2211658691127214,89.77910984848488,17.663481764189303
fifo,0.2,100,100,bbr1,2,229.97806736733628,37.64780064686552,29.7221759653441,1.0,0.0,2.5953643001727205,4.173646400280519,0.3941788934235961,0.29179245703774587,0.3659246275638162,0.2740388691116162,89.16934659090909,18.971120426444397
fifo,0.2,100,100,bbr1,3,231.1682760835548,37.7301409217489,23.036681842937238,1.0,0.0,4.24977658399895,5.2477159427587035,0.4090677433135734,0.2445539961113634,0.3444275602358363,0.23695146376228268,89.162945864899,18.648124557833036
fifo,0.2,100,100,bbr1,4,233.56159512095002,37.31174525728772,24.44225538347487,1.0,0.0,3.337308969070662,5.31541468941516,0.37466274961309715,0.2199832463732398,0.3364600470636579,0.21017360378124925,88.86024147727272,18.475291249959444
fifo,0.2,100,100,bbr1,5,230.3459766080255,37.893365923668505,22.858087347667702,1.0,0.0,2.9287890533902754,4.484691613803881,0.4103416246686426,0.24745294014842192,0.37498903448318494,0.23637868953626753,89.89069996843436,17.32273222824125
fifo,1.0,10,100,cubic,1,36.53696647209378,39.81160107126921,21.843330874171144,1.0,0.0,0.044039541216038945,0.7378557216668252,0.23005394459351416,0.12893953756086837,0.22943911363026517,0.12756291316626073,95.11172585227273,2.5092509799282348
fifo,1.0,10,100,cubic,2,36.583479271566596,39.88828107132841,22.129684726184145,1.0,0.0,0.04287235772431786,0.7195560452657332,0.22460114557086253,0.1251842063141257,0.22410929514090996,0.12443434287494394,95.11392755681818,2.4931237435504414
fifo,1.0,10,100,cubic,3,37.1389530133989,39.9157574713241,21.65356867998422,1.0,0.0,0.04700048645930504,0.7391794768209947,0.24005514429443575,0.12394128075610347,0.23949294739972077,0.12337189268977225,95.10964567550506,2.5439081239830275
fifo,1.0,10,100,cubic,4,37.15018804725484,39.915409163398394,21.840171451870233,1.0,0.0,0.04184722900390625,0.6633253444367764,0.22898867876302373,0.1349751393095298,0.22853313458298544,0.13445368095161264,95.123469854798,2.497777124383633
fifo,1.0,10,100,cubic,5,38.0651705050792,39.91478387806481,22.180061023874206,1.0,0.0,0.04460861433797808,0.737962640127762,0.25235758955017407,0.13313306999297847,0.2517967537724012,0.13286788897700802,95.12034011994953,2.5172893473579574
fifo,1.0,10,100,bbr,1,31.731496791284663,39.38083411702755,21.678021356843683,1.0,0.0,0.1793571016681728,0.7796084198961536,0.31028380715401366,0.2075186919637576,0.30822430210958407,0.20547026964824314,94.26793087121216,3.5053301554219827
fifo,1.0,10,100,bbr,2,33.20539832113637,39.52229901287324,21.671845075632085,1.0,0.0,0.1785564422607422,0.8045849066645353,0.2740312030669832,0.19638057076722756,0.2723869140195572,0.1954225342384729,94.22662484217172,3.505874312986548
fifo,1.0,10,100,bbr,3,31.870847667588624,39.38825273291653,21.764764699586863,1.0,0.0,0.19507280036584654,0.7967913526133765,0.2879809109398699,0.18845116673072387,0.2860545064050011,0.1859736437605154,94.42570549242423,3.374185433581613
fifo,1.0,10,100,bbr,4,31.489283664130227,39.47072615591466,21.758433132290293,1.0,0.0,0.2066199459246735,0.8497769971853975,0.2916683391726942,0.21301640444128225,0.28969053098027914,0.2110023720359091,94.37456755050508,3.3651243258059753
fifo,1.0,10,100,bbr,5,32.89119207508168,39.56233380265118,21.675040915952216,1.0,0.0,0.22499910041467466,0.9211984681198665,0.2661211602197495,0.1976891014051178,0.2641750855554302,0.19675290089580605,94.45963147095961,3.4501027966919775
fifo,1.0,10,100,bbr1,1,37.26895464382809,39.585413954497014,21.737054429423317,1.0,0.0,3.5016165206681436,3.818210945992676,0.23790751794570783,0.15785079151479578,0.21659053947825108,0.1546783296187447,94.45086253156566,4.052824946875186
fifo,1.0,10,100,bbr1,2,35.20259307377906,39.44108903809486,21.748715591041087,1.0,0.0,2.9367586392075267,3.872280138236079,0.24556633696586413,0.18406258723283447,0.2274825554470537,0.1815725384468182,94.466962594697,4.243644379423794
fifo,1.0,10,100,bbr1,3,35.377704054637555,39.41616664120706,21.639115383686324,1.0,0.0,2.813468477619228,3.569990388378973,0.25069454720196627,0.18628936020461964,0.2306245694702339,0.18375468353260577,94.29195233585861,4.394869966729479
fifo,1.0,10,100,bbr1,4,35.750315093985705,39.56369099389671,21.608334929045814,1.0,0.0,3.182730603573927,3.606861414420501,0.23288440165213528,0.1582866287999205,0.21482998383683974,0.15925361078736963,94.49800505050507,3.7455270936102676
fifo,1.0,10,100,bbr1,5,34.66474505013609,39.481152255735594,21.823210674441704,1.0,0.0,3.139963292363864,4.285628117281044,0.2664146491398985,0.1947799374688907,0.24604125226164078,0.1912410796889927,94.28813368055557,4.07720679802327
