aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,bbr3,3,2,33.14927580677562,12.402245876177878,22.232998388888888,0.924909009210529,16.91089108910891,35.78633789867328,94.72100142045457,3.0405257208753724
fifo,0.2,10,100,bbr3,3,3,43.86089691113535,26.480696295009867,21.810656722222223,1.2059706617259363,22.37,49.428379980278,94.72100142045457,3.0405257208753724
fifo,0.2,10,100,bbr3,4,0,49.269536731776505,26.52355424997448,21.880060888888888,1.1849145828184546,50.17,183.30236956152172,94.77527067550506,3.043852759856948
fifo,0.2,10,100,bbr3,4,1,28.145452551459776,7.497760903651157,22.30014113888889,0.9757042437369079,14.831683168316832,22.134167843824937,94.77527067550506,3.043852759856948
fifo,0.2,10,100,bbr3,4,2,34.486993901367285,11.831825871745348,22.335902111111114,0.9566042729381907,23.613861386138613,38.42836720367643,94.77527067550506,3.043852759856948
fifo,0.2,10,100,bbr3,4,3,46.356608726568254,26.702127349444346,21.920375944444444,1.2254548462149244,27.31,44.40668231632976,94.77527067550506,3.043852759856948
fifo,0.2,10,100,bbr3,5,0,49.654862183937006,25.614221505483563,21.973542361111114,1.180239647831137,49.73,185.00100218128767,94.69385969065657,3.4147075621475613
fifo,0.2,10,100,bbr3,5,1,31.186258222265543,8.67204334956657,22.541168888888887,0.8079468048863896,21.574257425742573,36.489545498581776,94.69385969065657,3.4147075621475613
fifo,0.2,10,100,bbr3,5,2,26.350043272864642,8.724211626521935,22.722081194444446,0.8377459385680541,15.663366336633663,15.744381364615615,94.69385969065657,3.4147075621475613
fifo,0.2,10,100,bbr3,5,3,51.222972769018526,25.088427352316888,22.11080433333333,1.1541723507349908,41.86,61.66789843159645,94.69385969065657,3.4147075621475613
fifo,0.2,10,100,orca,1,0,64.85571751515151,19.71052667737763,22.970602083333333,0.588757564593443,1026.43,270.51343830395984,94.2873492739899,9.649113050873552
fifo,0.2,10,100,orca,1,1,29.246584333333335,4.902531250452445,23.06235930555556,0.4560551261291863,293.73267326732673,89.31516008932738,94.2873492739899,9.649113050873552
fifo,0.2,10,100,orca,1,2,27.90609613131313,15.156095867216042,23.001031111111114,0.5584343868329784,236.1089108910891,155.48568429216235,94.2873492739899,9.649113050873552
fifo,0.2,10,100,orca,1,3,44.060996232323234,32.10171687401565,22.757749166666667,0.6523359608686711,398.9972,364.50056930877935,94.2873492739899,9.649113050873552
fifo,0.2,10,100,orca,2,0,65.31380921212121,20.55108957536086,23.07337708333334,0.5542405056598342,1181.07,360.38792945514933,94.28922664141415,9.645072837907499
fifo,0.2,10,100,orca,2,1,29.393790686868684,7.909913588201389,23.089191388888885,0.5106535293557718,300.53465346534654,110.37812866292266,94.28922664141415,9.645072837907499
fifo,0.2,10,100,orca,2,2,28.72178895959596,15.454908896885792,22.99504111111111,0.7473793846657765,255.72277227722773,188.79825840361354,94.28922664141415,9.645072837907499
fifo,0.2,10,100,orca,2,3,42.573349959595966,32.768661833733276,22.609111444444444,0.8048945664081156,356.6,337.66722007792157,94.28922664141415,9.645072837907499
fifo,0.2,10,100,orca,3,0,67.06350627272727,20.23630586591074,22.99310055555556,0.5419504971468454,1195.84,337.5557632945012,94.2904190340909,9.644047534982406
fifo,0.2,10,100,orca,3,1,23.883394575757578,7.126817971761135,23.075173055555556,0.5531850852054957,219.8910891089109,112.07576910198733,94.2904190340909,9.644047534982406
fifo,0.2,10,100,orca,3,2,28.79158545454546,12.423183676260777,22.947961111111113,0.6468400642203863,249.07920792079207,133.8899311500545,94.2904190340909,9.644047534982406
fifo,0.2,10,100,orca,3,3,46.28225026262625,30.594824819582836,22.659295027777777,0.7215562922364769,462.90380000000005,392.85243404992354,94.2904190340909,9.644047534982406
fifo,0.2,10,100,orca,4,0,62.575587860000006,24.549407172386843,23.122392638888886,0.570312087785299,1084.09,382.72687455292515,94.28544744318184,9.649080628823004
fifo,0.2,10,100,orca,4,1,30.960459636363638,8.859230177584738,23.23208763888889,0.40980104083942054,447.980198019802,253.58682853011194,94.28544744318184,9.649080628823004
fifo,0.2,10,100,orca,4,2,30.805475535353537,15.621360971423323,23.196719305555558,0.6611894799544578,329.1510891089109,187.83759373406053,94.28544744318184,9.649080628823004
fifo,0.2,10,100,orca,4,3,41.31400608080808,33.34597390711163,22.884816805555552,0.8469715216318016,346.4886,323.36001306052833,94.28544744318184,9.649080628823004
fifo,0.2,10,100,orca,5,0,66.66144693939394,23.0190663453855,23.15300347222222,0.4909617040711456,1221.15,374.1570289640866,94.28635022095959,9.646885207511117
fifo,0.2,10,100,orca,5,1,21.05036913131313,7.831463909458457,23.29031175,0.5832598624882194,186.65346534653466,83.16001871615524,94.28635022095959,9.646885207511117
fifo,0.2,10,100,orca,5,2,34.61424945454545,13.28024096244942,22.93800402777778,0.6165323595612584,386.61386138613864,185.2408146331164,94.28635022095959,9.646885207511117
fifo,0.2,10,100,orca,5,3,43.80239890909091,31.316272345919543,22.683045000000007,0.7006371422281853,385.2178,354.1453936529687,94.28635022095959,9.646885207511117
fifo,0.2,10,100,sage,1,0,41.01818628,29.716505150467356,23.143008892305954,1.0062894196841639,17.02,150.26091650959347,90.19878472222224,20.42238704433485
